Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
...21...5..2.46..1........9......95.4....7..6....85...9.1..2.84..8.7.1..2.6...7..,26,51,4,0,0,0,0,0,0,Easy
2.......4...6...........8.7.8..2....6...73..17.39.8...84.....7.1.2..7..3...49.62.,26,55,10,0,0,3,1,2,2,Expert
6.9.....8..27..496...4...23.9.67.1......2.........3...387249......3.7....1.......,26,42,13,1,0,0,0,0,0,Intermediate
........74.62....37134.........7..622.5..43.139..2.4.5...3......391.......4......,27,43,11,0,0,0,0,0,0,Easy
...35...8..4...9....1........5.....6.....64.......528.5...32.4.1.2.49..3.8....1..,24,50,7,0,0,0,0,0,0,Easy
..5...3........6..64..75....7.2.4....8...6...26.5..9..7...8...48...63.....2....8.,24,33,24,0,0,0,0,0,0,Easy
.....3.86.....9..7.8..5..1.1.967.3...7.3.....2..915.6..53....9..9.......61.......,26,55,0,0,0,0,0,0,0,Simple
.....7....7....3....2.4..8.2.....69.....79..363..8.........4.....5392....8..5..69,24,51,6,0,0,0,0,0,0,Easy
.1....7....3.56..2.65.1..3.....29...3..7.....927..3....7......915.98....8.......1,26,36,19,0,0,0,0,0,0,Easy
9.1..5.7.4.3.2....5.......8........2....79......5..1.....2...3.1.54..2....893.5.1,25,29,27,2,0,0,0,0,0,Intermediate
....823.....7...12.......544...58176..64.....8..21.....1.....8..4....7.1..7...6..,26,36,28,1,0,1,2,2,2,Expert
.......4.9....75.87.5...32..5.....9.....6.4.2..6932..76...2.......85.263.......8.,27,43,11,0,0,0,0,0,0,Easy
...971..5..962........54......4.........86.1.....19.6785......91......5.67...24..,26,48,13,3,0,0,0,3,2,Expert
.6.2..5.13...7...8.576.8.....8.2..93..3.....6..1.9..5..........9..53...........29,25,46,17,1,0,0,1,2,2,Expert
1.4..8.2.9...268...27.93.46....61.8.........4..17.......3.1......6..9........2..3,26,51,4,1,0,0,0,0,0,Intermediate
.......9.41..8.......3......4..132...35.4......78...4.9..52.3.7.7.4....9..219.8..,27,61,16,1,1,3,0,4,6,Expert
..7.18..5...975..........3.7...2.....268.1..7.5..679.2.......6......3..95...8..73,27,50,11,2,0,1,0,3,2,Expert
....3.2..17......4..4.6...5..........9....54.23.19.6...5.....73....7615.......4..,24,54,19,2,0,2,1,3,2,Expert
...8...7.1......6.7...69..89...8..46.84....3..1.............9..6.1.78..5.7..4....,24,42,13,3,2,4,0,2,0,Expert
